Millesime,Catégorie juridique,Catégorie,Etablissement2,Ressource,Négociée,Valeur,Code département,Académie,Code Région,Région
2015,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris 8 - Vincennes - Saint-Denis,Frantext,NON,379.0,D093,Créteil,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris 8 - Vincennes - Saint-Denis,Frantext,NON,379.0,D093,Créteil,R11,Île-de-France
2017,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris 8 - Vincennes - Saint-Denis,Frantext,NON,379.0,D093,Créteil,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Sorbonne Nouvelle - Paris 3,French Biographical Archives,NON,429.17,D075,Paris,R11,Île-de-France
2015,Établissement public national à caractère administratif,Organisme de recherche,Institut national de la santé et de la recherche médicale (INSERM),Future Science Group,NON,8332.0,D075,Paris,R11,Île-de-France
2015,Établissement public national à caractère industriel ou commercial doté d'un comptable public,Établissement public à caractère industriel et commercial,Institut de radioprotection et de sûreté nucléaire (IRSN),Futuribles,NON,278.0,D092,Versailles,R11,Île-de-France
2015,Établissement public national à caractère administratif,Organisme de recherche,Institut national de la recherche agronomique (INRA),Futuribles,NON,735.0,D075,Paris,R11,Île-de-France
2018,Établissement public national à caractère administratif,Organisme de recherche,Institut national de la recherche agronomique (INRA),Futuribles,NON,735.0,D075,Paris,R11,Île-de-France
2017,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire Cujas,Gale - Bases de données hors négociation Couperin,NON,1230.0,D075,Paris,R11,Île-de-France
2015,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire de la Sorbonne (BIS),Gale - Bases de données hors négociation Couperin,NON,65399.0,D075,Paris,R11,Île-de-France
2016,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire de la Sorbonne (BIS),Gale - Bases de données hors négociation Couperin,NON,5812.0,D075,Paris,R11,Île-de-France
2018,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire de la Sorbonne (BIS),Gale - Bases de données hors négociation Couperin,NON,6948.81,D075,Paris,R11,Île-de-France
2017,Association loi de 1901,Fondation reconnue d'utilité publique,Fondation Maison des Sciences de l'homme (FMSH),Gale Virtual Reference Library,NON,130.0,D075,Paris,R11,Île-de-France
