Mois;Essonne 91;Eure-et-Loir 28;Hauts-de-Seine 92;Paris 75;Seine-et-Marne 77;Seine-Saint-Denis 93;Val-d'Oise 95;Val-de-Marne 94;Yvelines 78;Total
Mai 2008; 47 770;  0; 74 250; 150 510; 56 610; 98 780; 62 420; 63 850; 57 010; 611 190
Juin 2008; 47 030;  0; 73 360; 148 690; 55 720; 97 220; 61 630; 62 970; 56 380; 603 000
Juillet 2008; 47 400;  0; 72 990; 147 260; 55 640; 95 410; 61 100; 62 630; 56 580; 599 010
Août 2008; 48 100;  0; 73 950; 148 110; 56 560; 95 460; 61 970; 63 160; 57 540; 604 840
Septembre 2008; 50 090;  0; 76 100; 151 330; 58 820; 98 770; 64 130; 65 070; 58 990; 623 290
Octobre 2008; 50 880;  0; 77 350; 153 160; 59 610; 100 990; 65 550; 66 410; 60 360; 634 310
Novembre 2008; 51 000;  0; 77 590; 152 890; 59 830; 100 430; 65 460; 66 130; 60 330; 633 650
Décembre 2008; 51 680;  0; 78 030; 153 020; 60 770; 100 530; 65 800; 66 310; 60 610; 636 740
Janvier 2009; 53 360;  0; 79 580; 156 780; 62 810; 102 860; 67 940; 67 870; 62 090; 653 290
Février 2009; 54 490;  0; 81 030; 158 950; 64 400; 105 220; 69 470; 69 560; 63 480; 666 590
Mars 2009; 55 850;  0; 82 260; 161 340; 65 590; 106 420; 70 690; 70 410; 64 400; 676 960
Avril 2009; 56 380;  0; 83 360; 163 690; 66 210; 108 100; 71 480; 71 860; 65 310; 686 380
Mai 2009; 56 580;  0; 83 860; 164 830; 66 690; 108 340; 71 860; 72 090; 65 540; 689 780
Juin 2009; 56 560;  0; 83 730; 164 680; 66 390; 107 560; 71 490; 71 770; 65 100; 687 280
Juillet 2009; 58 030;  0; 84 900; 165 660; 67 720; 107 380; 72 220; 72 500; 66 240; 694 650
Août 2009; 60 090;  0; 88 130; 169 470; 69 800; 110 210; 74 560; 74 710; 69 090; 716 060
Septembre 2009; 62 800;  0; 91 080; 174 940; 72 580; 114 960; 77 540; 77 750; 71 940; 743 590
Octobre 2009; 64 200;  0; 93 170; 178 060; 74 130; 117 280; 79 180; 79 420; 73 770; 759 200
Novembre 2009; 64 560;  0; 93 690; 178 120; 74 760; 118 560; 79 630; 80 120; 74 230; 763 670
Décembre 2009; 64 490;  0; 93 750; 178 090; 74 620; 118 540; 79 580; 80 130; 74 270; 763 460
Janvier 2010; 65 600;  0; 95 290; 180 510; 76 300; 120 600; 80 850; 81 450; 75 360; 775 960
Février 2010; 66 100;  0; 95 300; 181 480; 76 510; 121 650; 81 390; 81 650; 75 350; 779 420
Mars 2010; 66 360;  0; 95 440; 182 560; 76 770; 122 730; 81 730; 82 050; 75 560; 783 200
Avril 2010; 66 290;  0; 95 090; 182 210; 76 400; 122 730; 81 770; 81 690; 74 870; 781 040
Mai 2010; 65 750;  0; 94 570; 181 110; 76 200; 121 840; 80 840; 81 420; 74 390; 776 120
Juin 2010; 65 000;  0; 93 860; 179 330; 75 930; 120 960; 80 260; 80 640; 73 720; 769 690
Juillet 2010; 65 220;  0; 93 550; 177 770; 75 700; 119 250; 79 550; 80 130; 73 970; 765 130
Août 2010; 66 580;  0; 95 660; 180 920; 77 690; 121 320; 81 500; 81 710; 76 190; 781 570
Septembre 2010; 68 710;  0; 98 120; 184 270; 79 850; 124 610; 83 890; 83 860; 78 330; 801 650
Octobre 2010; 68 520;  0; 97 870; 185 330; 79 830; 125 240; 84 190; 84 120; 78 440; 803 540
Novembre 2010; 68 620;  0; 97 860; 186 080; 80 420; 126 060; 84 440; 84 570; 78 480; 806 520
Décembre 2010; 68 420;  0; 97 810; 185 930; 80 370; 126 380; 84 040; 84 410; 77 970; 805 330
Janvier 2011; 69 370;  0; 98 750; 187 600; 81 530; 127 850; 84 750; 85 680; 78 720; 814 240
Février 2011; 69 210;  0; 98 390; 187 200; 81 430; 128 330; 84 920; 85 840; 78 460; 813 780
Mars 2011; 68 890;  0; 97 680; 186 430; 81 120; 128 420; 84 620; 85 490; 77 850; 810 490
Avril 2011; 68 240;  0; 96 490; 184 330; 79 930; 127 210; 83 550; 84 750; 76 710; 801 200
Mai 2011; 68 320;  0; 96 550; 184 820; 80 010; 128 040; 83 560; 84 830; 76 510; 802 620
Juin 2011; 67 610;  0; 95 370; 182 150; 79 440; 126 240; 82 100; 83 650; 75 400; 791 950
Juillet 2011; 67 440;  0; 94 870; 180 310; 78 830; 124 650; 81 650; 83 120; 75 290; 786 160
Août 2011; 68 980;  0; 96 710; 183 110; 80 230; 126 490; 83 260; 84 410; 77 040; 800 240
Septembre 2011; 70 950;  0; 99 220; 186 400; 82 070; 129 990; 85 690; 86 860; 78 830; 820 010
Octobre 2011; 71 190;  0; 99 750; 187 340; 82 550; 130 660; 86 190; 87 520; 79 170; 824 350
Novembre 2011; 72 030;  0; 100 740; 188 120; 83 900; 131 760; 86 760; 88 610; 79 940; 831 860
Décembre 2011; 71 950;  0; 101 050; 187 300; 84 250; 132 230; 86 860; 88 610; 79 950; 832 190
Janvier 2012; 73 490;  0; 102 300; 189 730; 86 110; 134 820; 88 230; 90 100; 81 270; 846 040
Février 2012; 73 690;  0; 102 150; 189 490; 86 230; 135 820; 88 280; 90 270; 80 900; 846 830
Mars 2012; 73 630;  0; 101 950; 189 730; 86 090; 136 030; 88 180; 90 220; 80 690; 846 520
Avril 2012; 73 090;  0; 100 850; 188 260; 85 510; 134 850; 87 490; 89 500; 79 720; 839 270
Mai 2012; 73 060;  0; 100 850; 187 990; 85 210; 134 650; 86 900; 89 290; 79 440; 837 390
Juin 2012; 72 370;  0; 100 620; 187 100; 84 950; 133 900; 86 480; 88 740; 78 960; 833 110
Juillet 2012; 72 890;  0; 100 880; 187 360; 85 510; 134 580; 86 860; 89 200; 79 840; 837 120
Août 2012; 74 290;  0; 102 980; 190 510; 87 230; 136 770; 88 650; 90 990; 81 930; 853 350
Septembre 2012; 76 370;  0; 105 290; 193 290; 89 270; 139 960; 90 990; 92 980; 84 530; 872 670
Octobre 2012; 77 980;  0; 107 550; 197 170; 91 210; 142 660; 92 780; 94 760; 86 010; 890 120
Novembre 2012; 79 120;  0; 108 480; 198 820; 92 280; 144 730; 94 130; 96 060; 86 650; 900 280
Décembre 2012; 78 270;  0; 107 630; 197 050; 91 500; 143 660; 93 660; 95 310; 85 700; 892 770
Janvier 2013; 81 130;  0; 110 000; 201 540; 94 410; 148 010; 96 340; 98 120; 87 870; 917 420
Février 2013; 80 920;  0; 109 910; 201 390; 94 410; 148 540; 96 550; 98 510; 87 550; 917 780
Mars 2013; 80 820;  0; 109 750; 201 510; 94 180; 149 130; 96 190; 98 450; 87 200; 917 210
Avril 2013; 80 730;  0; 109 870; 201 390; 93 890; 149 510; 96 390; 98 530; 86 970; 917 280
Mai 2013; 80 010;  0; 109 380; 199 910; 92 850; 148 010; 95 300; 97 780; 86 630; 909 870
Juin 2013; 79 000;  0; 108 010; 197 610; 91 770; 146 520; 94 000; 96 560; 85 530; 899 000
Juillet 2013; 79 830;  0; 109 370; 199 130; 92 840; 147 570; 94 710; 97 530; 86 770; 907 750
Août 2013; 79 910;  0; 109 340; 198 180; 93 100; 147 270; 94 770; 97 650; 87 120; 907 340
Septembre 2013; 83 330;  0; 113 120; 203 820; 96 690; 152 940; 98 260; 101 190; 90 800; 940 130
Octobre 2013; 85 120;  0; 115 090; 207 860; 98 690; 156 530; 100 030; 103 520; 92 560; 959 400
Novembre 2013; 85 130;  0; 115 410; 207 460; 98 500; 157 050; 100 520; 103 310; 92 700; 960 070
Décembre 2013; 85 180;  0; 114 850; 206 200; 98 490; 157 190; 100 460; 103 360; 92 310; 958 040
Janvier 2014; 86 890;  0; 117 070; 210 210; 100 380; 160 350; 102 380; 105 650; 93 740; 976 660
Février 2014; 86 600;  0; 116 660; 209 460; 100 000; 160 170; 101 970; 105 510; 92 990; 973 350
Mars 2014; 86 650;  0; 116 240; 209 170; 100 020; 160 730; 102 090; 105 780; 93 000; 973 680
Avril 2014; 86 560;  0; 116 010; 209 480; 99 720; 161 250; 102 000; 106 050; 92 810; 973 890
Mai 2014; 86 010;  0; 115 490; 208 260; 99 180; 160 640; 101 330; 105 550; 92 170; 968 620
Juin 2014; 85 520;  0; 115 030; 207 710; 98 380; 159 840; 100 720; 105 060; 91 960; 964 230
Juillet 2014; 85 710;  0; 115 610; 207 960; 99 030; 159 750; 101 270; 105 440; 92 750; 967 510
Août 2014; 86 220;  0; 116 380; 208 430; 99 190; 159 760; 101 670; 105 670; 93 640; 970 960
Septembre 2014; 89 740;  0; 119 960; 213 370; 103 130; 165 770; 105 630; 109 620; 97 510;1 004 730
Octobre 2014; 91 250;  0; 121 860; 216 010; 104 340; 167 610; 106 920; 110 970; 98 560;1 017 520
Novembre 2014; 90 980;  0; 122 350; 215 580; 104 420; 168 570; 106 780; 110 940; 98 120;1 017 740
Décembre 2014; 90 870;  0; 122 320; 215 280; 104 750; 169 480; 107 180; 110 980; 98 210;1 019 070
Janvier 2015; 92 080;  0; 123 590; 217 860; 106 260; 171 530; 108 650; 112 190; 99 240;1 031 400
